66,Alison Holloway,Griffinbeach,Jonesboro,Palmetto State,Thailand
67,Winston Bryan,Butterlyn,Springfield,Land of Enchantment,Samoa (American Samoa)
68,Mildred Harvey,Morbeach,Anchorage,Show-Me State,Tunisia
69,Jackie Garrett,Westacre,Providence,Bluegrass State,Vietnam
70,Teresa Curry,Snowhedge,Yuma,Cornhusker State,Uruguay
71,Patti Waters,Winterbush,Central El Paso,Hawkeye State,Congo
72,Barbara Alvarado,Marblecrest,Sharon,Buckeye State,Somalia
73,Susie Cohen,Marblegrass,Utica,Silver State,Iran
74,Eduardo Doyle,Swynfield,Lansing,Badger State,Gambia
75,Hazel Garcia,Belmead,Taunton,Tar Heel State,Algeria
76,Daxesh,Station,Carol City,Granite State,United Arab Emirates
1,Sara Vega,Westray,Philadelphia ,Pennsylvania ,Xecroastein
2,Dexter Mccoy,Fournemouth,Wintertown,Austin ,Zufriegro
3,Della Vargas,Aberdeen ,Memphis ,Tennessee ,Rashal
4,Neil Gross,Domburton,Fresno ,California ,Opren
5,Angel Swanson,Millstone ,Wildecourt,Arizona ,Breynia
6,Joey Dennis,Onryx,Lochspring,California ,Glaovania
7,Renee Wells,Snowmelt ,Shadowacre,Florida ,Eblea
8,Glenn Pope,Wombourne,Applecoast,Florida ,Osmad
9,Nicolas Weaver,Dalmerlington,Spellmont,Pennsylvania ,Sweyd Plary
10,Ginger French,Sherfield ,Southkeep,New York,Swaon Crington 
11,Ellis Robbins,Violetfield,Stonehaven,Florida ,Subluinga
12,Francis Paul,Aldborough,Mallowlight,North Carolina ,Ufruarhiel
13,Lindsey Ford,Woodmill,Dorbourne,Oregon ,Fabron
14,Damon Santiago,Deermarsh,Newfort,Wisconsin ,Saprea
15,Bob Parker,Valden,Springbridge,Michigan ,Bloacor
16,Lisa Clayton,Stonebank,Wildefort,Texas ,Graunia
17,Paul Ortiz,Corpond,Iceway,California ,Astad
18,Dolores Cobb,Stonemount,Lochbell,Florida ,Obrua
19,Daryl Douglas,Foxmarsh,Fairwinter,Texas ,Fraii Grar
20,Rita Sparks,Springgate,Lakewynne,Louisiana ,Smoum Swon 
21,Sadie Massey,Freyburn,Wellholt,Wisconsin ,Joglorus
22,Lindsay Holland,Norhill,Southbarrow,Colorado ,Muwhounia
23,Carlton Haynes,Springley,Marblefield,New Mexico ,Ofrain
24,Inez May,Eastdale,Vertice,California ,Fotrua
25,Elsa Mason,Bluehollow,Byiron,California ,Cluque
26,Ujaval Patel,Starrylake,Corville,Kansas ,Glealia
27,Sonja Hansen,Whitebank,Deepsummer,District of Columbia ,Ewhus
28,Peggy Schneider,Coldford,Stonemeadow,California ,Afrines
29,Hope Townsend,Wyvernwald,Snowford,Ohio ,Spai Blines
30,Willie Sparks,Silverborough,Northwood,Alaska ,Groir Graria 
31,Brenda Allison,Freyvale,Highhollow,Nebraska ,Afriotho
32,Vicky Dennis,Brightcoast,Summerspell,Tennessee ,Tosniasal
33,Steven Walsh,Fairpine,Welloak,Arizona ,Gosmana
34,Cory Barton,Crystalmere,Courtmeadow,Idaho ,Tastron
35,Debra Ramos,Shadecliff,Shadownesse,Virginia ,Breisia
36,Elias Alexander,Fallborough,Crystaldale,Kentucky ,Swougua
37,Aubrey Schultz,Newiron,Applebush,Massachusetts ,Oshen
38,Joy George,Hedgemill,Springwood,Nevada ,Espor
39,Meredith Peters,Woodford,Winterholt,Louisiana ,Breiz Glesh
40,Yvette Rivera,Waywyn,Linshore,Missouri ,Chayg Thus 
41,Devin Ramirez,Lindale,Bluemont,Ohio ,Udraygro
42,Christopher Bailey,Crystalbay,Windlyn,Nevada ,Saclaena
43,Travis Cook,Dorholt,Lormeadow,Illinois ,Juflos
44,Carlton Anderson,Coldfort,Greycliff,Louisiana ,Mufrijan
45,Tracy Warner,Falconshore,Westland,Illinois ,Fruolor
46,Doyle Mccoy,Marbleview,Coldtown,Illinois ,Triorhiel
47,Alexis Ray,Ortown,Eastbeech,Ohio ,Uglen
48,Miriam Bowen,Linmeadow,Highwick,Missouri ,Oprington
49,Melody Conner,Wyvernlake,Rayhill,Illinois ,Friu Frea
50,Lionel Cooper,Iceapple,Brightburn,Louisiana ,Speog Snesh 
51,Maxine Ballard,Applebridge,Valwald,Missouri ,Usheau 
1,Lucia Parsons,Wheatdell,Norman,The Golden State ,Norway
2,Maureen Hampton,Falloak,Brackney,Treasure State ,Virgin Islands (US)
3,Jennifer Foster,Edgebridge,Thimphu,Magnolia State ,Turks and Caicos Islands
4,Percy Vaughn,Orston,Sofia,Philipsburg,Guinea
5,Connie Jenkins,Wildehollow,Cupertino,Old Line State ,Virgin Islands (British)
6,Ryan Cohen,Courtmill,Oriana,Grand Canyon State ,Tanzania
7,Walter Howell,Strongwick,Portsmout,Hawkeye State ,Bahrain
8,Jeremy Davis,Lighthurst,Triborough Bridge,The Last Frontier ,Bosnia and Herzegowina
9,Adam Adams,Ostley,Pristina,Lone Star State ,Netherlands Antilles
10,Archie Townsend,Osthurst,Downey,Hoosier State ,Spain
11,Kent Beck,Marshlake,Damascus,Sooner State ,Trinidad and Tobago
12,Andy Fields,Eastbrook,Melbourne,Mountain State ,Libyan Arab Jamahiriya
13,Vernon Thornton,Janwald,Woodlawn,Pelican State ,Burundi
14,Christopher Vargas,Fallhall,Richmond,Constitution State ,Denmark
15,Jon Spencer,Glassbarrow,Newton,Ocean State ,Cook Islands
16,Alejandro Brooks,Violetbridge,Westminster,The Bay State ,Niue
17,Roderick Wheeler,Fairmount,Hialeah,Green Mountain State ,Cayman Islands
18,Nicholas Horton,Glassshade,Kilby,The Old Dominion ,Korea
19,Horace White,Clearfall,Arlington,Aloha State ,Malawi
20,Salvatore Palmer,Freyedge,Deltona,Keystone State ,Cambodia
21,Bill Ray,Silverbeech,Little Rock,North Star State ,Swaziland
22,Christina Mcdonald,Westergriffin,Elizabeth,Sunshine State ,Macedonia
23,Frankie Copeland,Goldshade,Dushanbe,Equality State ,San Marino
24,Sharon Hamilton,Norkeep,Pungo,Show-Me State ,Wallis and Futuna
25,Mona Schmidt,Coldmount,Fort Monroe,The First State ,Nicaragua
26,Kerry Flowers,Bybeach,Garden Grove,Beehive State ,Bangladesh
27,Tami Klein,Mageburn,Henderson,The Natural State ,Belarus
28,Bernice Walters,Landwald,Norfolk,Tar Heel State ,Greenland
29,Jessie Gomez,Marbletown,Beaconsdale,Bluegrass State ,Yugoslavia
30,Sheldon Harrison,Marshpond,Livonia,Peach State ,Jamaica
31,Rachel Kelley,Summerlake,Plymouth,Heart of Dixie ,Hungary
32,Sonja Bennett,Wyvernedge,Columbia Bridge,The Great Lakes State ,Chad
33,Valerie Mason,Lochwald,Gaithersburg,Gem State ,Somaliland
34,Dwight Gonzales,Ironmerrow,Annadale,Sunflower State ,India
35,Melanie Burton,Oakbank,North Miami,Mount Rushmore State ,Armenia
36,Crystal Harper,Drackeep,Phoenix,Buckeye State ,Mozambique
37,Michele Romero,Foghaven,El Cajon,Garden State ,Tajikistan
38,Belinda Pratt,Snowcoast,Pleasant Hill,Granite State ,Cuba
39,Jordan Lamb,Oldwood,Tbilisi,Pine Tree State ,Israel
40,Nelson Tyler,Bluebridge,Nicosia,Prairie State ,Philippines
41,Shelley Obrien,Springwood,Bellevue,The Empire State ,Syrian Arab Republic
42,Conrad Norton,Castleborough,Chaires,Badger State ,Bhutan
43,Ramona Mcbride,Mallowacre,Frederick,Beaver State ,Aruba
44,Kristen Reid,Blackcrest,Hallwood,Centennial State ,Georgia
45,Julius Curry,Raymead,Douglas,Cornhusker State ,Zambia
46,Bridget Webb,Westerbeach,Lowell,Volunteer State ,Latvia
47,Joyce Meyer,Lorfield,Springfield,Peace Garden State ,Guadeloupe
48,Anne Cunningham,Mallowport,Jerusalem,Silver State ,Yemen
49,Edgar Moran,Faysnow,Menchville,Palmetto State ,Papau New Guinea
50,Kevin Santos,Dorhall,Guaynabo,The Evergreen State ,Finland
51,Darla Griffith,Reddell,Bogot,North Star State ,Dominica
52,Marshall Cannon,Linvale,North Virginia Beach,Prairie State ,Iceland
53,Gerald Curry,Whitebourne,Aguilares,Badger State ,Slovenia
54,Alfonso Norton,Fairvale,Tarawa,Magnolia State ,Lebanon
55,Delia Santos,Deepcliff,Phoebus,Gem State ,Guyana
56,Grant Roy,Foxwick,Newbury,The Evergreen State ,Grenada
57,Susan May,Ashgate,Lynnhaven,Hawkeye State ,Nepal
58,Kristen Riley,Starrymeadow,Hyde Park,Hoosier State ,Niger
59,Alicia Moran,Ormoor,Turner City,Old Line State ,Namibia
60,Toni Benson,Wellbell,Ankara,The Great Lakes State ,Morocco
61,Garrett Burton,Dorwald,Victoria,Pine Tree State ,Islands
62,Juana Thomas,Castlecrest,Brightway,The First State ,Ireland
63,Sally Gonzalez,Grasshollow,Silvergate,The Natural State ,Kosova
64,Emily Scott,Eastbeach,Orbeach,Bluegrass State ,Malta
65,Ramiro French,Strongcliff,Fallland,Centennial State ,Singapore
66,Kevin Mendez,Beechmoor,Meadowcliff,Treasure State ,Cape Verde
67,Douglas Mitchell,Cliffbridge,Goldbeach,Palmetto State ,Estonia
68,Kay Blair,Silverville,Whitespell,Constitution State ,Nicaragua
69,Brett Wright,Vertriver,Lochpond,Sunflower State ,Bangladesh
70,Erik Norman,Woodport,Silvergrass,Granite State ,Belarus
71,Miriam Cohen,Rosefield,Morborough,Lone Star State ,Greenland
72,Ian Barnett,Icecourt,Whitemoor,The Empire State ,Yugoslavia
73,Angel Wade,Dragonmeadow,Millmeadow,Ocean State ,Jamaica
74,Lance Mccarthy,Blackwald,Coastfield,Mount Rushmore State ,Hungary
75,Maggie Ray,Strongway,Belnesse,Tar Heel State ,Chad
76,Bertha Stewart,Pineport,Marblepond,Beaver State ,Somaliland
77,Barry Cooper,Dormount,Bluehedge,Green Mountain State ,India
78,Ethel Parks,Wildeshore,Whitefox,Equality State ,Armenia
79,Edmund Beck,Westerdragon,Bypine,Show-Me State ,Mozambique
80,Ashley Ruiz,Linwyn,Newcliff,The Golden State ,Tajikistan
81,Delores Flowers,Butterfox,Butterwick,Peach State ,Cuba
82,Ana Vasquez,Clearbarrow,Morpond,The Last Frontier ,Israel
83,Mable Holmes,Stonelake,Silvercliff,Mountain State ,Philippines
84,Randy Young,Woodness,Fairhaven,Buckeye State ,Syrian Arab Republic
85,Shelley Richardson,Ironmallow,Shadowcrest,Cornhusker State ,Bhutan
86,Timothy Vega,Bluehaven,Greenburn,The Bay State ,Aruba
87,Virginia Carroll,Strongsilver,Cliffhall,Silver State ,Georgia
88,Ira Joseph,Crystalness,Eribush,Pelican State ,Zambia
89,Neal Reeves,Fairfay,Marbleville,The Old Dominion ,Latvia
90,Cecelia Walton,Deermeadow,Springhollow,Land of Enchantment ,Guadeloupe
91,Nicole Washington,Griffinmoor,Landston,Aloha State ,Yemen
92,Nathaniel Torres,Summerlyn,Bylea,Grand Canyon State ,Papau New Guinea
93,Marcella Nguyen,Belbarrow,Riverbridge,Keystone State ,Palau
94,Sheri James,Fieldkeep,Pondmarsh,Heart of Dixie ,Solomon Islands
95,Myron Dawson,Ormer,Gaborone,Sooner State ,Cyprus
96,Melvin Austin,Eastpond,Highlands Ranch,Sunshine State ,Laos
97,Priscilla Brady,Glassview,Wilmington,Volunteer State ,Ecuador
98,Jeffery Leonard,Rockcastle,Chaires Crossroads,Beehive State ,Brazil
1,Spencer Wade,Esterdell,Kaimuki,Badger  ,Dorburn
2,Lana Fuller,Summermarble,Tegucigalpa,Sunflower  ,Newbarrow
3,Roy Ward,Griffinhaven,Greenpoint,Pelican  ,Fogmeadow
4,Jane Gonzales,Southgriffin,Windhoek,Sooner  ,Dominican Republic
5,Rosie Jimenez,Silverham,Framingham,The Great Lakes State ,Botswana
6,Estelle Jensen,Shoreford,Cedar Rapids,The Old Dominion ,Angola
7,Veronica Craig,Merriden,Davie,Beaver  ,Portugal
8,Wendy Bryant,Coldmerrow,Kalamazoo,Hoosier  ,Croatia
9,Shaun Black,Buttermill,Copenhagen,Gem  ,Luxembourg
10,Lorraine Moody,Byhurst,Holland,Bluegrass  ,Finland
11,Conrad Murphy,Blackmere,Stanley,Show-Me State ,Dominica
12,Gordon Ramos,Southbridge,Oneta,The Bay State ,Iceland
13,Patty Newman,Elfnesse,Liberty City,The Golden State ,Slovenia
14,Jared Malone,Starrymill,Albany,Land of Enchantment ,Lebanon
15,Pearl Abbott,Greymarsh,Dubuque,The Last Frontier ,Guyana
16,Agnes Walton,Newbank,Bridgetown,Volunteer State ,Grenada
17,Dale Delgado,Mallowshore,Flushing,Green Mountain State ,Nepal
18,Pamela Farmer,Snowland,St. Charles,Cornhusker State ,Niger
19,Catherine Mann,Highmill,Spring Hill College,Prairie State ,Namibia
20,Francis Rose,Aldgold,Cleveland,Constitution State ,Morocco
21,Gregory Warner,Estersage,St. Louis,Mountain State ,Islands
22,Kirk Alexander,Bridgemeadow,St. Clair Shores,Buckeye State ,Ireland
23,Jean Hall,Redpond,Wittman Field,Peace Garden State,Kosova
24,Olivia Rhodes,Deepmarsh,Havana,Keystone  ,Malta
25,Jennifer Aguilar,Oldcliff,St Cloud,Palmetto  ,Singapore
26,Heather Mitchell,Wyvernbourne,Lake Charles,Mount Rushmore ,Cape Verde
27,Thomas Meyer,Stonemere,Seattle,Grand Canyon ,Estonia
28,Sandy Erickson,Wildecastle,Frenchman Mtn,Peach  ,Tonga
29,Marco Pearson,Westerspell,Washington,Heart of Dixie ,Moldova
30,Alicia Obrien,Fairby,New Bedford,Granite  ,Belize
31,Evelyn Swanson,Blackdale,Chicago,Sunshine State,Kenya
32,Gilberto Nash,Meadowcastle,Madrid,Hawkeye  ,Kuwait
33,Clifton Potter,Aelbourne,Tskhinvali,Tar Heel State ,Haiti
34,Bert Singleton,Wellwyn,Hollywood,The Evergreen State ,Sudan
35,Brandon Zimmerman,Beechwick,Dearborn,Equality State ,Argentina
36,Natalie Ramsey,Rosecoast,Buffalo,The Empire State ,Liberia
37,Randy May,Newspring,Porto-Novo,Old Line State,Romania
38,Eugene Lynch,Springford,London Bridge,North Star State,Nauru
39,Bryan Norris,Bushhedge,Gallups Corner,Treasure State,Bermuda
40,Yvette Arnold,Raybarrow,Arlington,Magnolia State,Turkey
41,Ross Pena,Aelborough,Boynton Beach,Silver State,Malaysia
42,Cynthia Roberts,Sagegate,Jersey City,Lone Star State,Honduras
43,David Phillips,Merriford,St Paul,The Natural State,Norfolk Island
44,Lisa Gross,Byfox,Redford,Ocean State,Gabon
45,Sophia Owens,Icehedge,Bossier City,Garden State,Ghana
46,Edna Weber,Noracre,Heartland Village,Pine Tree State,El Salvador
47,Arlene Watkins,Mallowedge,Independence,Beehive State,Benin
48,Leah Maldonado,Dracston,Arlington Heights,Aloha State,Australia
49,Marcella Gutierrez,Valwall,Eau Gallie,Sunflower State ,Vanuatu
50,Alex Daniel,Icefall,Denver,Gem State,Egypt
51,Blake Powell,Westwell,Yerevan,The Last Frontier,Andorra
52,Jacquelyn Strickland,Oldbutter,St. Peters,Mount Rushmore State,Ivory Coast
53,Krystal Craig,Aldbeach,Bay Ridge,Old Line State,Barbados
54,Claire Hines,Westerlake,Escondido,North Star State,South Africa
55,Virgil Peters,Greyfay,Federal Way,Aloha State,Macau
56,Marilyn Lewis,Belbank,Bolingbrook,Hoosier State,New Caledonia
57,Trevor Wade,Dellmill,Joliet,Garden State,Austria
58,Daisy Saunders,Eastston,Sarajevo,Grand Canyon State,Sierra Leone
59,Leon Briggs,Fairshadow,Stono,Green Mountain State,Western Sahara
60,Chelsea Rogers,Rosecliff,Hargeisa,The Old Dominion,Ukraine
61,Lamar Morrison,Roseport,Nurney,Pelican State,St. Helena
62,Candace Rivera,Belcoast,Lynchburg City,Prairie State,Faroe Islands
63,Johnny Green,Lorwick,Thornton,The Great Lakes State,Guam
64,Russell Ryan,Merriton,Aurora,Pine Tree State,Monaco
65,Tammy Hall,Mallowviolet,Yakima,Lone Star State,Djibouti
66,Alison Holloway,Griffinbeach,Jonesboro,Palmetto State,Thailand
67,Winston Bryan,Butterlyn,Springfield,Land of Enchantment,Samoa (American Samoa)
68,Mildred Harvey,Morbeach,Anchorage,Show-Me State,Tunisia
69,Jackie Garrett,Westacre,Providence,Bluegrass State,Vietnam
70,Teresa Curry,Snowhedge,Yuma,Cornhusker State,Uruguay
71,Patti Waters,Winterbush,Central El Paso,Hawkeye State,Congo
72,Barbara Alvarado,Marblecrest,Sharon,Buckeye State,Somalia
73,Susie Cohen,Marblegrass,Utica,Silver State,Iran
74,Eduardo Doyle,Swynfield,Lansing,Badger State,Gambia
75,Hazel Garcia,Belmead,Taunton,Tar Heel State,Algeria
76,Daxesh,Station,Carol City,Granite State,United Arab Emirates
